state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
Uttarakhand,Nainital,x. Food Poisoning,16 / 3,,14.07.09,22.07.09,Under Control,"Cases reported from Bhauna village, Okhal Kanda PHC. Outbreak occurred due to consumption of common food contaminated with pesticides by mistake. Cases presented with vomiting and pain abdomen. Three cases died instantly; two of whom belonged to the same family. First-aid could not be provided due to tough geographical condition (hospital and motorable road are at distance of 8 km by walk). Eight cases admitted and treated in local hospital and two cases referred to base hospital, Haldwani; all recovered. Dist RRT visited the affected area. Samples collected and sent to laboratory; report awaited. IEC activities done regarding food hygiene and sanitation."
Assam,Dibrugarh,xi. Cholera,2 / 0,,,,Under Control,"Cases reported from Urban area (Lahowal PHC), Ward no.9, Pas-Ali. Investigation by RRT revealed that cases occurred probably due to consumption of contaminated water from a tube well which had unhygienic surroundings and no concrete platform. Culture and sensitivity test for stool sample at Microbiology Dept. AMCH, showed growth of V. cholera 01 (Ogawa serotype). Water samples collected from different sources of drinking water sent to for MPN test. Active search being done for new cases. Health education given regarding sanitation and hygienic practices."
Uttar Pradesh,Faizabad,xii. Chickenpox,6 / 0,,,,Under Control,"Cases reported from Masaudha aamia, Arabia, Ulam inter college, Bhadarsa. RRT investigation done. Symptomatic treatment given. Health education given regarding isolation and treatment of cases."
Andhra Pradesh,Nizamabad,i. Acute Diarrhoeal Disease,23 / 1,,22.07.09,23.07.09,Under Control,"Outbreak reported from Abbapur village, PHC Navipet, occurred due to consumption of contaminated water. One adult died on way to hospital. District Rapid Response Team (RRT) investigated the outbreak. Medical camp set up in the village to treat cases. Active search done for new cases. Chlorination and disinfection of water sources done. Health education given regarding sanitation and hygiene."
Arunachal Pradesh,Upper Subnasiri,ii. Viral Fever,38 / 0,,24.07.09,27.07.09,Under Control,Outbreak occurred in Luci Lutey village. The District Surveillance Officer with PHC medical officers investigated the outbreak. Poor hygienic conditions and overcrowding observed in community. Symptomatic treatment given to all cases. Health education given and IEC activities done regarding hygiene and sanitation measures.
Chhattisgarh,Dhamatari,iii. Food Poisoning,13 / 2,,24.07.09,24.07.09,Under Control,"Cases reported from Bokra Beda, Sub Centre Hirridih (Nagari), probably due to consumption of poisonous leafy vegetable. All cases presented with loose motion and vomiting. Cases treated by medical team. Door to door survey done for new cases. Health education given and IEC activities done regarding food hygiene."
Gujarat,Amreli,iv. Acute Diarrhoeal Disease,58 / 0,,21.07.09,26.07.09,Under Surveillance,"Outbreak reported from Savar kundla urban village, PHC Savar kundla, Taluka Savarkundla, occurred due to consumption of contaminated water. Leakages found in water supply pipeline which could have caused the contamination of drinking water. Water samples collected and sent for lab analysis; result awaited. Chlorine tablets and ORS packets distributed. IEC activities done regarding hygiene and sanitation."
,Panchmahal,v. Food Poisoning,33 / 0,,25.07.09,25.07.09,Under Surveillance,"Outbreak occurred at Baluchina Muvada village, Boriya PHC, Taluka Shahera. Investigation done by Block Health Officer with PHC Medical Officer. Cases presented with vomiting after consumption of common food. All cases treated and ORS packets distributed. Food sample not available for lab analysis. Health education given regarding food hygiene."
Karnataka,Chikmaglur,vi. Acute Diarrhoeal Disease,26 / 0,,23.07.09,24.07.09,Under Control,"Outbreak reported from Hegedehalli village, Sollapura PHC, Tarikeri Taluka due to consumption of contaminated water. Water and stool samples collected for analysis; result awaited. Broken pipeline and leaking valves which caused contamination of drinking water supply were repaired. Chlorination and disinfection of water sources done. Health education given."
Karnataka,Davangere,vii. Acute Diarrhoeal Disease,46 / 0,,21.07.09,22.07.09,Under Control,"Outbreak reported from Igooru Gollarahatti village, Igooru PHC due to consumption of contaminated water. Water and stool samples collected and sent for lab analysis. Instruction given to Panchayat secretary to repair pipelines leakages which caused the outbreak. Chlorination and disinfection of water sources done. Health education given regarding sanitation and hygienic measures."
,Bidar,viii. Acute Diarrhoeal Disease,28 / 0,,23.07.09,25.07.09,Under Control,"Outbreak reported from Astoor village, Chillargi PHC due to consumption of contaminated water caused by water pipeline defect (leaking pipeline valve found submerged under dirty water). Safe drinking water supplied to the area in tanks and the water pipeline defects repaired. Halogen tablets and ORS packets distributed. Chlorination and disinfection of water done. Water and stool samples sent for lab analysis; result awaited."
Kerala,Malappuram,ix. Food Poisoning,34 / 0,,23.07.09,24.06.09,Under Control,"Outbreak reported from Edavanna, Jamiya Arabic College Hostel. Food samples not available for lab analysis. Medical camp setup to treat all cases. Health education given regarding food hygiene and sanitation measures."
,Kannur,x. Viral Hepatitis-A,28 / 0,,21.07.09,23.07.09,Under Controlled,"Outbreak reported from East Chettakandi, Kallikandi, PHC Triprangottur under CHC Panoor. Cases presented with fever and jaundice. Investigation done by District RRT. House to house survey done for new cases. Serum bilirubin levels found elevated. Serological test done and water samples collected for bacteriological examination; reports awaited. Chlorination and disinfection of water sources done."
,Alappuzha,xi. Food Poisoning,10 / 0,,23.07.09,23.07.09,Under Control,"Cases reported from village Moncombu, CHC Velliyanad. All affected persons consumed common food (payasam from a temple). Food sample collected and sent to Analytical Lab, Thiruvananthanpuram; report awaited. Health education given regarding food hygiene and sanitation."
Jharkhand,Latehar,xii. Malaria,22 / 0,,19.07.09,19.07.09,Under Control,"Outbreak reported from Kukudpata village, Block Mahuadar. 12 blood smears tested positive for P. falciparum. Mass fever survey done. Anti-malarial treatment given to all cases. Anti-larval measures and indoor residual spray done. Health education given regarding personal prophylactic measures."
Madhya Pradesh,Betul,xiii. Acute Diarrhoeal Disease,186 / 1,,18.07.09,18.07.09,Under Control,"Outbreaks reported from Gullardhana village of Bhimpur Block (166 cases & 1 death) and neighboring Malgaon village of Bhainsdehi Block (20 cases), due to consumption of contaminated water. District RRT visited affected area. Water sample collected and sent for investigation to PHE department. Chlorination and disinfection of water sources done. Health education given regarding sanitation and hygienic practices."
,,xiv. Acute Diarrhoeal Disease,196 / 1,,18.07.09,23.07.09,Under Control,Outbreak occurred due to consumption of contaminated water in Brahmanwada village (115 cases & 1 death) and Hardoi village (81 cases) of Block Amla. (The Amla Block is farther from above mentioned Bhimpur and Bhainsdehi blocks). District RRT investigated the outbreak in the affected area. Water samples collected and sent for investigation. All curative and preventive measures undertaken. Chlorination of water sources done and chlorine tablets distributed among the villagers.
,Khandwa,xv. Food Poisoning,11 / 2,,21.07.09,21.07.09,Under Control,Cases reported from Mallarghad village of Khalwa block due to consumption of contaminated food during a festival in the village. The District RRT visited the affected area. Food samples not available for lab analysis. IEC activities done for proper and hygienic handling and cooking of food.
,Seoni,xvi. Acute Diarrhoeal Disease,60 / 0,,21.07.09,21.07.09,Under Control,Outbreak reported from Mundapar village (35 cases) and Amai village (25 cases) of Lakhnadon Block due to consumption of contaminated water. District RRT visited the affected areas. Water sample collected and sent for investigation. Chlorination and disinfection of water sources done. Health education given regarding sanitation and hygiene.
Orissa,Khurda,xvii. Acute Diarrhoeal Disease,21 / 1,,18.07.09,21.07.09,Under Control,"Outbreak reported from Kautapatna village, G.P Benupur, CHC Balakati due to consumption of contaminated water. Water sample collected for lab analysis; result awaited. Health camp established to treat all cases. Alternate safe drinking water in tanks supplied by Rural Water Supply department. IEC activities done and health education given regarding sanitation and hygiene."
West Bengal,South 24 Parganas,xviii. Acute Diarrhoeal Disease,112 / 0,,17.07.09,17.07.09,Under Control,"Outbreak reported from Rishi Bankim village, Kakdwip Block due to consumption of contaminated water. District RRT visited the affected areas. Rectal swab samples and water sample collected and sent for investigation to NICED, Kolkata; results awaited. Chlorination and disinfection of water sources done. Health education given regarding sanitation and hygienic practices."
Assam,Sivasagar,Japanese Encephalitis,95 / 30*,,,,Under Surveillance,"Cases reported from Galakey, Demow, Sapekhati, Khelua and Morabazar BPHC areas and urban areas. All had history of fever with unconsciousness or altered sensorium. 29 samples serum and CSF tested positive for Japanese Encephalitis at Assam Medical College Hospital and RMRC, Dibrugarh. State programme officer of NVBDCP taking control of situation along with medical officers and paramedical staffs. Active surveillance being done to find new cases. Bed nets distributed and health education given about personal prophylactic measures."
Gujarat,Vadodara,i. Food Poisoning,22 / 0,,28.07.09,29.07.09,Under Surveillan ce,"Outbreak reported from Anghad village, Koyali PHC due to consumption of contaminated food at a local festival. Food sample not available for analysis. Health education given regarding sanitation and food hygiene."
,Surendranagar,ii. Food Poisoning,285 / 0,,28.07.09,28.07.09,Under Surveillan ce,"Outbreak reported from Nani Khatachi village, Ranagadh PHC, Limbdi PHC, Block Limbdi due to consumption of contaminated food (Prasad) at a temple. Medical team visited the affected village and treated cases. Contaminated food sample collected and sent for lab analysis; result awaited. IEC activities taken up and health education given regarding food hygiene and sanitation."
Himachal Pradesh,Bilaspur,iii. Acute Diarrhoeal Disease,14 / 0,,30.07.09,30.07.09,Under Control,"Cases reported from Kuddi village, PHC Baggi Sungal, Block Markand due to consumption of contaminated water. All cases treated. ORS packets and chlorine tablets distributed. Cleaning of water tanks done by local residents. Water sample sent to Kandaghat laboratory for bacteriological examination."
